#,Date Time,Voltage,Current,Rain,Wind Speed,Gust Speed,Wind Direction,Temp,RH,Solar Radiation
240,12-03-21 05:21,-0.1988,0,0,0,0,353.8,-8.231,90.2,0.6
241,12-03-21 05:31,-0.1988,0,0,0,0,353.8,-8.033,90.2,0.6
242,12-03-21 05:41,-0.1988,0,0,0,0,353.8,-7.836,90.3,0.6
243,12-03-21 05:51,-0.1988,0,0,0,0,353.8,-7.738,90.3,0.6
244,12-03-21 06:01,-0.1988,0,0,0,0,353.8,-7.738,90,0.6
245,12-03-21 06:11,-0.1988,0,0,0,0,353.8,-7.64,90,0.6
246,12-03-21 06:21,-0.1988,0,0,0,0,353.8,-7.673,90.1,0.6
247,12-03-21 06:31,-0.1988,0,0,0,0,353.8,-7.706,90.3,0.6
248,12-03-21 06:41,-0.1988,0,0,0,0,353.8,-7.836,90.1,0.6
249,12-03-21 06:51,-0.1988,0,0,0,0,353.8,-8.033,90.1,0.6
250,12-03-21 07:01,-0.1988,0,0,0,0,353.8,-8.099,90.2,0.6
251,12-03-21 07:11,-0.1988,0,0,0,0,353.8,-8.066,90.3,0.6
252,12-03-21 07:21,-0.1988,0,0,0,0,353.8,-7.836,90.4,0.6
253,12-03-21 07:31,-0.1988,0,0,0,0,353.8,-7.673,90.6,0.6
254,12-03-21 07:41,-0.1988,0,0,0,0,348.2,-7.543,90.6,0.6
255,12-03-21 07:51,-0.1988,0,0,0,0,339.7,-7.413,90.4,0.6
256,12-03-21 08:01,-0.1988,0,0,0,0,304.7,-7.348,90.3,0.6
257,12-03-21 08:11,-0.1988,0,0,0,0,265.3,-7.381,90,0.6
258,12-03-21 08:21,-0.1988,0,0,0,0,258.3,-7.251,90.1,0.6
259,12-03-21 08:31,-0.1988,0,0,0,0,256.9,-7.187,89.4,0.6
260,12-03-21 08:41,-0.1988,0,0,0,0,329.9,-7.155,89.1,1.9
261,12-03-21 08:51,-0.1988,0,0,0,0,19.7,-7.251,88.9,3.1
262,12-03-21 09:01,-0.1988,0,0,0,0,56.2,-7.284,88.2,6.9
263,12-03-21 09:11,-0.1988,0,0,0,0,53.3,-7.348,88.1,10.6
264,12-03-21 09:21,-0.1988,0,0,0,0,54.8,-7.608,87.8,23.1
265,12-03-21 09:31,-0.1988,0,0,0,0,54.8,-7.902,87.8,24.4
266,12-03-21 09:41,-0.1988,0,0,0,0,54.8,-7.673,88.1,33.1
267,12-03-21 09:51,-0.1988,0,0,0,0,66,-7.478,87.5,41.9
268,12-03-21 10:01,-0.1988,0,0,0,0,66,-7.187,87.1,55.6
269,12-03-21 10:11,-0.1988,0,0,0,0,66,-6.866,86.1,50.6
270,12-03-21 10:21,-0.1988,0,0,0,0,66,-6.738,84.2,60.6
271,12-03-21 10:31,-0.1988,0,0,0,0,66,-6.388,82,76.9
272,12-03-21 10:41,-0.1988,0,0,0,0,53.3,-6.168,79.3,89.4
273,12-03-21 10:51,-0.1988,0,0,0,0,23.9,-5.916,76.4,80.6
274,12-03-21 11:01,-0.1988,0,0,0,0,22.5,-5.885,74.7,94.4
275,12-03-21 11:11,-0.1988,0,0,0,0,22.5,-5.885,74.5,100.6
276,12-03-21 11:21,-0.1988,0,0,0,0,23.9,-5.698,73.4,91.9
277,12-03-21 11:31,-0.1988,0,0,0,0,25.3,-5.729,72.6,96.9
278,12-03-21 11:41,-0.1988,0,0,0,0,25.3,-5.605,71.5,95.6
279,12-03-21 11:51,-0.1988,0,0,0,0,25.3,-5.574,69.5,95.6
280,12-03-21 12:01,-0.1988,0,0,0,0,28.1,-5.574,68.6,91.9
281,12-03-21 12:11,-0.1988,0,0,0,0,29.5,-5.574,67,90.6
282,12-03-21 12:21,-0.1988,0,0,0,0,29.5,-5.388,66,106.9
283,12-03-21 12:31,-0.1988,0,0,0,0,29.5,-5.141,65.3,144.4
284,12-03-21 12:41,-0.1988,0,0,0,0,33.7,-4.987,64.9,118.1
285,12-03-21 12:51,-0.1988,0,0,0,0,57.6,-4.895,63.9,108.1
286,12-03-21 13:01,-0.1988,0,0,0,0,162.9,-4.865,62.3,95.6
287,12-03-21 13:11,-0.1988,0,0,0,0,162.9,-4.804,61.6,103.1
288,12-03-21 13:21,-0.1988,0,0,0,0,162.9,-4.834,60.3,114.4
289,12-03-21 13:31,-0.1988,0,0,0,0,162.9,-5.018,60,71.9
290,12-03-21 13:41,-0.1988,0,0,0,0,162.9,-4.957,60.5,93.1
291,12-03-21 13:51,-0.1988,0,0,0,0,162.9,-4.895,59.2,86.9
292,12-03-21 14:01,-0.1988,0,0,0,0,162.9,-4.834,57.9,114.4
293,12-03-21 14:11,-0.1988,0,0,0,0,162.9,-4.59,56.4,116.9
294,12-03-21 14:21,-0.1988,0,0,0,0,162.9,-4.469,53.8,113.1
295,12-03-21 14:31,-0.1988,0,0,0,0,164.3,-4.712,53.4,101.9
296,12-03-21 14:41,-0.1988,0,0,0,0,164.3,-4.712,54.1,103.1
297,12-03-21 14:51,-0.1988,0,0,0,0,164.3,-4.621,55.2,88.1
298,12-03-21 15:01,-0.1988,0,0,0,0,164.3,-4.773,55,90.6
299,12-03-21 15:11,-0.1988,0,0,0,0,167.1,-4.59,54.9,96.9
300,12-03-21 15:21,-0.1988,0,0,0,0,168.5,-4.773,54.8,85.6
301,12-03-21 15:31,-0.1988,0,0,0,0,172.7,-4.682,56.2,78.1
302,12-03-21 15:41,-0.1988,0,0,0,0,192.3,-5.202,56.8,49.4
303,12-03-21 15:51,-0.1988,0,0,0,0,192.3,-5.449,58.6,41.9
304,12-03-21 16:01,-0.1988,0,0,0,0,192.3,-5.823,60.3,31.9
305,12-03-21 16:11,-0.1988,0,0,0,0,192.3,-6.042,61.4,31.9
306,12-03-21 16:21,-0.1988,0,0,0,0,192.3,-6.136,63.2,15.6
307,12-03-21 16:31,-0.1988,0,0,0,0,192.3,-6.515,64.5,9.4
308,12-03-21 16:41,-0.1988,0,0,0,0,192.3,-6.994,65.1,6.9
309,12-03-21 16:51,-0.1988,0,0,0,0,192.3,-7.219,67.2,1.9
310,12-03-21 17:01,-0.1988,0,0,0,0,192.3,-7.284,68.9,0.6
311,12-03-21 17:11,-0.1988,0,0,0,0,192.3,-7.478,69.5,0.6
312,12-03-21 17:21,-0.1988,0,0,0,0,192.3,-7.771,71.2,0.6
313,12-03-21 17:31,-0.1988,0,0,0,0,192.3,-8.132,72.3,0.6
314,12-03-21 17:41,-0.1988,0,0,0,0,192.3,-8.43,73.4,0.6
315,12-03-21 17:51,-0.1988,0,0,0,0,192.3,-8.864,74.9,0.6
316,12-03-21 18:01,-0.1988,0,0,0,0,192.3,-9.134,75.9,0.6
317,12-03-21 18:11,-0.1988,0,0,0,0,192.3,-9.134,75.7,0.6
318,12-03-21 18:21,-0.1988,0,0,0,0,192.3,-9.1,75.4,0.6
319,12-03-21 18:31,-0.1988,0,0,0,0,192.3,-9.066,74.7,0.6
320,12-03-21 18:41,-0.1988,0,0,0,0,192.3,-9.066,74.3,0.6
321,12-03-21 18:51,-0.1988,0,0,0,0,192.3,-8.999,74.5,0.6
322,12-03-21 19:01,-0.1988,0,0,0,0,192.3,-8.965,74.6,0.6
323,12-03-21 19:11,-0.1988,0,0,0,0,192.3,-8.932,75.1,0.6
324,12-03-21 19:21,-0.1988,0,0,0,0,192.3,-8.764,75.6,0.6
325,12-03-21 19:31,-0.1988,0,0,0,0,192.3,-8.73,75.3,0.6
