Sample ID,δ2HVSMOW (‰),δ18OVSMOW (‰),Comments,2H Analysis #,18O Analysis #,Sample Substrate,Date,Block,Treatment,TreeNumb,Count,Replicates
B3C_78_107,-111.3,-14.62,,PD-86070,PD-85687,tree,2021-10-07,3,C,78,,
B3C_47_911,-133.3,-17.67,,PD-86332,PD-85853,tree,2021-09-11,3,C,47,,
B3C_47_721,-126.6,-15.55,,PD-86086,PD-85703,tree,2021-07-21,3,C,47,,
B3C_47_2_612,-128.9,-16.08,,PD-86040,PD-85657,tree,2021-06-12,3,C,47,2,Y
B3C_47_107,-111.8,-15.28,,PD-86058,PD-85675,tree,2021-10-07,3,C,47,,
B3C_47_1_612,-128.1,-16.15,,PD-86038,PD-85655,tree,2021-06-12,3,C,47,1,Y
B3C_47_1_612,-127.9,-15.95,replicate,PD-86039,PD-85656,tree,2021-06-12,3,C,47,3,Y
B2T2_18_911,-115.2,-9.63,,PD-86057,PD-85674,tree,2021-09-11,2,2,18,,
B2T2_18_721,-132.7,-16.18,,PD-86550,PD-86169,tree,2021-07-21,2,2,18,1,Y
B2T2_18_721,-132.3,-16.16,replicate,PD-86551,PD-86170,tree,2021-07-21,2,2,18,2,Y
B2T2_18_611,-132.9,-16.27,,PD-86050,PD-85667,tree,2021-06-11,2,2,18,,
B2T2_18_107,-77.9,-5.14,,PD-86654,PD-86251,tree,2021-10-07,2,2,18,,
B2T2_17_911,-135.2,-17.76,,PD-86063,PD-85680,tree,2021-09-11,2,2,17,,
B2T2_17_721,-127.1,-14.6,,PD-86345,PD-85866,tree,2021-07-21,2,2,17,,
B2T2_17_611,-137.3,-16.81,,PD-86056,PD-85673,tree,2021-06-11,2,2,17,,
B2T2_17_107,-100.7,-12.38,,PD-86570,PD-86189,tree,2021-10-07,2,2,17,,
B2T2_11_911,-139,-19.16,,PD-86055,PD-85672,tree,2021-09-11,2,2,11,,
B2T2_11_721,-133,-17.69,,PD-86334,PD-85855,tree,2021-07-21,2,2,11,,
B2T2_11_2_611,-135.3,-18.48,,PD-86043,PD-85660,tree,2021-06-11,2,2,11,2,Y
B2T2_11_107,-103.8,-13.18,,PD-86330,PD-85851,tree,2021-10-07,2,2,11,,
B2T2_11_1_611,-135.3,-18.56,,PD-86042,PD-85659,tree,2021-06-11,2,2,11,1,Y
B2T1_32_911,-136.7,-17.49,,PD-86077,PD-85694,tree,2021-09-11,2,1,32,,
B2T1_32_721,-135.7,-18.94,,PD-86348,PD-85869,tree,2021-07-21,2,1,32,,
